Item,Reference(s),Value,Quantity,1st Distrib. Link,1st Distrib. PN,Mfg. Name,Mfg. Part Number
1,C1,33u,1,https://www.elfa.se/sv/kondensator-47-uf-10-vdc-1210-murata-grm32er71a476ke15l/p/16576820,165-76-820,Murata,GRM32ER71A476KE15L
2,C10 C11 C12,1n,3,,,,
3,C13 C16 C17 C5,1u,4,,,,
4,C14 C18 C19 C2 C20 C22 C23 C24 C25 C26 C28 C29 C31 C33 C35 C37 C39 C4 C40 C43 C50 C7 C8 C9,10u,24,,,,
5,C15 C27 C34 C41 C44 C45,4p7,6,,,,
6,C21 C30 C32 C36 C38 C42,1p,6,,,,
7,C3,100n,1,,,,
8,C6,470p,1,,,,
9,D1 D2 D3 D4,TDZ5V6J,4,http://se.farnell.com/nxp/tdz5v6j/diode-zener-0-500w-5v6v-sod323f/dp/2069517,2069517,Nexperia,TDZ5V6J
10,D5,LED,1,,,,
11,IR2,ITR20001,1,https://www.elfa.se/sv/reflexdetektor-kodenshi-sg-2bc/p/17534043,175-34-043,,
12,L1 L11 L3 L5 L7 L9,470n,6,http://se.farnell.com/coilcraft/0805ht-r47tglb/inductor-rf-470nh-2-610mhz-smd/dp/2286480,2286480,Coilcraft,0805HT-R47TGLB
13,L10 L12 L2 L4 L6 L8,19n4,6,http://se.farnell.com/coilcraft/0806sq-19nglb/inductor-rf-19-4nh-2-4ghz-smd/dp/2286600,2286600,Coilcraft,0806SQ-19NGLB
14,P12 P13,CONN_02X12,2,,,,
15,R1,150,1,,,,
16,R10 R8,470,2,,,,
17,R11 R38,50,2,,,,
18,R12,120,1,,,,
19,R13,56,1,,,,
20,R14,1M,1,,,,
21,R15 R17 R19 R26 R27 R28 R29 R3 R5 R9,10k,10,,,,
22,R16,1k,1,,,,
23,R18,680,1,,,,
24,R20,100k,1,,,,
25,R21 R22 R23 R24 R25 R31 R32 R33,270,8,,,,
26,R30 R35 R36 R41 R42 R47,100M,6,http://se.farnell.com/yageo-phycomp/rc2010fk-0710ml/motst-tjockfilm-10m-1-0-5w-2010/dp/9235809,9235809,,
27,R34 R37,390,2,,,,
28,R43,0,1,,,,
29,R45,1k2,1,,,,
30,U1,ADG601,1,,,,
31,U10 U12 U14 U16,ADP7182,4,,,,
32,U11 U13 U15 U9,ADM7160,4,,,,
33,U2,MAX504,1,,,,
34,U3,ADS131A04,1,,,,
35,U4 U6 U8,LTC6241IS8#PBF,3,http://se.farnell.com/linear-technology/ltc6241cs8-pbf/ic-sm-op-amp-dual/dp/1330969,1330969,,
36,U5,DS18B20Z,1,,,,
37,U7,MAX44252ASD+,1,,,,
